tweet,date,likes,retweets
"Roses are red,Violets are blue. Pre-born childrenNeed human rights too! #chooselife #AllLivesMatter #ProLife #EndAbortion #abortion #SundayMood #HumanRights @LiveAction @LilaGraceRose @Feminists4Life @StudentsforLife @AUL @BenjaminSWatson @CatholicNewsSvc @DankProLifeMeme","Feb 2, 2020",2,0
Latest #PodcastConfessions of a Former #Democrat: What Changed?https://buff.ly/2Ui7p1B #SeekTheTruth #SeekJesus #GospelTruth #Christianity #Jesus #JesusChrist #abortion #prolife #Democrats #DemocraticParty #WalkAway #SundayMorning #SundayThoughts #SundayMotivation #Truth,"Feb 2, 2020",1,0
"LIFE IS PRECIOUSDon't murder ithttps://aliveinhisimage.wordpress.com#prolife, #abortion,","Feb 2, 2020",1,0
"New episode has dropped!! I deliver some gems where I do a tribute to Kobe and to value life, and my main topic is being a voice for the voiceless...the damage Abortion has done to our society and more. #abortion #prolife #podcasts #RIPKobeByant https://podcasts.apple.com/us/podcast/joy-in-becoming/id1470276816…","Feb 2, 2020",1,2
"The people behind ""choice""!https://youtu.be/lD4KD8X4Tj4#FacesofChoice#abortion#prochoice","Feb 2, 2020",1,1
This #SuperBowl2020  ad was refused -- even by @FoxNews. Why? What happens when you face the #FacesofChoice? https://youtu.be/hm24p8cBPKQ#abortion #massprolife #humanrights #notoroe #prolife #prochoice,"Feb 2, 2020",8,6
This is a great thread about #abortion and #sexualassault,"Feb 2, 2020",3,1
Majority in Malta against legalisation of #abortion: The Headlines - Illum https://corporatedispatch.com/majority-in-malta-against-legalisation-of-abortion-the-headlines-illum/…,"Feb 2, 2020",0,0
#Prolife Democrats ‘Fed Up’ with Party’s ‘#Abortion Extremism’@BlackIrishI @jayme0509 @LolitaDickinsonhttp://bit.ly/37OwhBH via @BreitbartNews,"Feb 2, 2020",0,2
The Bible is like a Rorschach test. People find whatever they want in it. Here's a few verses that support #abortion.,"Feb 2, 2020",0,0
"A refreshing, rational approach to an emotive medical ethics issue by @sharon_kirkey, with help from @angusreidorg poll. #Abortion deserves reflection, with room for respectful disagreement. #Medicalethics #ethics  #bioethics  #CDNpoli http://nationalpost.com/wcm/83e70568-7ba9-4ebd-8cbb-fe2d9e64bae1… via @nationalpost","Feb 2, 2020",4,3
I got into an argument tonight with male friend over #abortion. I’m now pro choice and it’s blowing their mind. I said as an #adoptee I don’t know that unwanted babies should be forced into the world. He nearly came unglued #murder of babies he responded and questioned.,"Feb 2, 2020",9,1
See the Super Bowl Ad FOX Sports wouldn't run.Choice is not merely a word. Choice is a person. Learn their stories.http://facesofchoice.org#FacetheChoice #FacesofChoice #Superbowl2020 #SuperBowl #SuperBowlLIV #SuperBowlnaESPN #Football #NFL #ProLife #ProChoice #Abortion #Life,"Feb 2, 2020",72,60
"#DWTSIRLDid you know there is a #Galway branch of #GiannaCare?We are located in Galway city suburbsNeed help in #pregnancy or have you just had a baby?We are here to help after #abortion also Phone our nationwide helpline, DM, FB, live chat01-5322116 or 015322117","Feb 2, 2020",26,33
Happy 4th birthday to our little miracle! I’m so grateful he was born. I’m grateful for his sweet spirit #ProLife #abortion #fataldiagnosis #savethe1 #latetermabortion #PlannedParenthood #prochoice #miraclebaby,"Feb 2, 2020",8,3
"#GE2020A good friend,who'se forgotten more about politics than most of us will ever learn, said to me recently:""It might or might not be coincidental that the #FG TDs who will lose their seats will include strong pro-#abortion #TDs or TDs whose position on abortion ""evolved""..""","Feb 2, 2020",45,14
"“Britain has been engaged in decades of rebellion against teachings of the #Christian Scriptures. Particular emphasis was laid in my preaching on Friday upon sins of our day: #knifecrime, #abortion, promoting #LGBT agenda in schools” -Pastor Simpson https://conservativewoman.co.uk/after-brexit-day-time-to-put-our-spiritual-house-in-order/…","Feb 2, 2020",8,4
#DEFENDLIFEWith all the #liberals screaming to expand #abortion someone is here to take a stand@HumanDefenseINI is fighting for those tiny lives and they need supportAt a minimum everyone needs to:LikeFollowRetweet#DEFENDLIFE#EndAbortionNow#Prolife,"Feb 1, 2020",1,3
"Pro-lifers urge #SuperBowlLIV viewers to skip ads, watch rejected #FacesofChoice spot - https://go.shr.lc/2SakYgU - @washtimes #abortion #FOX","Feb 2, 2020",7,4
"No matter who you are, where you are, or where you are going,  you should have access to factual, scientifically accurate information about #abortion.","Feb 2, 2020",31,15
"Guess who else voted against #federalfunding for #abortion? https://politi.co/2HXO2En #WARREN voted for this bill twice. So did #Booker, #Gillibrand, #Kamala, #Klobuchar, #Biden,and others.#Bernie Sanders voted no. Pres DONALD #TRUMP signed it into law. #Bernie2020=#WomensRights","Feb 2, 2020",1,1
this 6 week old baby has a face ready to be tagged in posts #abortionisawomansright #prochoice #abortion #abortions #ProLife what about the body and the rights of the #unborn,"Feb 2, 2020",0,0
@pillsforsale's account is temporarily unavailable because it violates the Twitter Media Policy. https://Learn more.,"Feb 1, 2020",0,0
"LIFE IS PRECIOUSDon't murder ithttps://aliveinhisimage.wordpress.com#prolife, #abortion,","Feb 2, 2020",1,0
The Bible is like a Rorschach test. People find whatever they want in it. Here's a few verses that support #abortion.,"Feb 2, 2020",0,0
"A refreshing, rational approach to an emotive medical ethics issue by @sharon_kirkey, with help from @angusreidorg poll. #Abortion deserves reflection, with room for respectful disagreement. #Medicalethics #ethics  #bioethics  #CDNpoli http://nationalpost.com/wcm/83e70568-7ba9-4ebd-8cbb-fe2d9e64bae1… via @nationalpost","Feb 2, 2020",4,3
